District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,1365783,835839,529944,822355,543428,1702637,539106,302968,33535,490174,2869976,104307,7406,4278,209,78647,373,3224
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,481294,251691,229603,327445,153849,386554,306419,96815,5516,72544,827293,25597,358,72,32,14077,27,392
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,1037344,911136,126208,882701,154643,2429038,221567,273050,34032,508695,1966892,1454052,6523,18627,1937,10208,135,8008
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,1291644,1081569,210075,1085491,206153,2851868,336049,323641,45952,586002,2382914,1711453,6495,18601,1516,16345,60,6128
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,1088036,921497,166539,839778,248258,2594677,232158,311489,52549,491840,2032081,1585210,6184,50624,1736,2134,41,4703
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,1417811,1193439,224372,1104968,312843,3354195,368638,338384,88733,622056,2488265,2248392,13157,7555,1260,2426,382,10569
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258,737261,609693,127568,564266,172995,1598558,214187,230238,54238,238598,1073890,1181337,9201,65316,384,1307,63,4321
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,599089,459037,140052,453567,145522,1241132,217672,131877,31600,217940,1075440,750368,5952,5295,189,517,21,2439
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968,1090539,898810,191729,890810,199729,2353150,196068,153995,63096,677380,2183255,1185643,10582,24912,1855,18544,236,18662
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,416695,342604,74091,334519,82176,886353,124718,74500,20347,197130,917474,364583,1840,483,161,16139,25,2343
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,1520538,1231615,288923,1252911,267627,3161107,158868,123680,83672,1154318,3414427,1186776,19026,23001,3487,16412,265,18251
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,569109,443384,125725,458492,110617,1079006,72668,48845,35400,412196,1394025,215500,7366,9261,895,4518,91,16459
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,1173260,897815,275445,885216,288044,2325911,332475,241137,65937,533711,2707195,777407,4088,2765,669,1572,86,5389
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,1174361,929337,245024,865799,308562,2499528,281501,267197,78566,547097,2904140,729283,7635,5875,2582,2805,91,21478
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,484115,398126,85989,337295,146820,1080593,124231,154720,32402,172762,1397225,159448,1350,524,424,1289,63,4385
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400,840939,635142,205797,594799,246140,1706245,235886,179248,44453,381352,2310776,216933,3179,2872,883,2056,126,10359
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,1389844,1119701,270143,1050562,339282,3028953,285471,234455,94184,775734,3922718,411313,10076,12057,4049,21508,384,36692
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492,761521,621840,139681,573649,187872,1736635,184595,150221,59942,366763,2140745,314812,3370,1804,3395,19077,61,14892
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775,560840,466067,94773,424782,136058,1307689,270888,137174,24784,127994,1746649,100723,1729,475,8814,4161,38,5940
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976,1107343,939616,167727,875763,231580,2574553,575903,258758,40122,232560,2867707,790515,6320,1135,1959,678,87,13495
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,1401971,1153006,248965,1043912,358059,3046388,365985,326376,131699,577911,2830768,1536534,14822,28187,4371,931,339,32407
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805,618605,534939,83666,463415,155190,1412402,216476,224192,22782,155155,1449007,489686,3510,84787,360,138,45,3474
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,892214,783313,108901,699503,192711,2114324,344973,275192,31141,240908,2412595,527581,4630,51090,2312,301,84,7945
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,1264718,1058483,206235,958249,306469,2756525,529223,422142,47837,265516,3078262,807600,7502,94388,18454,487,226,14324
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,1422602,1171252,251350,1023642,398960,3061390,571097,473554,70971,306980,3555450,893725,6579,11611,2663,1410,79,12475
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,969871,349075,2773899,596813,406830,59649,255654,3508131,556219,5822,5688,6671,446,98,9770
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,1124744,851014,273730,761831,362913,1983623,450123,332663,49243,292715,2732016,363453,3574,1204,920,240,31,6929
